team_key,team_number,wins,losses,ties
frc2590,2590,4,6,0
frc4469,4469,8,2,0
frc7415,7415,8,2,0
frc6201,6201,3,7,0
frc5653,5653,4,6,0
frc7915,7915,4,6,0
frc1768,1768,7,3,0
frc3082,3082,3,7,0
frc6985,6985,1,9,0
frc1756,1756,5,5,0
frc5181,5181,2,8,0
frc7183,7183,7,3,0
frc11242,11242,5,5,0
frc5577,5577,4,6,0
frc2393,2393,4,6,0
frc9572,9572,5,5,0
frc4087,4087,3,7,0
frc4020,4020,6,4,0
frc7769,7769,9,1,0
frc3243,3243,5,4,0
frc931,931,5,5,0
frc11417,11417,7,2,0
frc111,111,5,5,0
frc3501,3501,6,4,0
frc2582,2582,5,5,0
frc3544,3544,3,7,0
frc2231,2231,7,3,0
frc3931,3931,8,2,0
frc5705,5705,3,7,0
frc8119,8119,3,7,0
frc1391,1391,5,5,0
frc11244,11244,4,6,0
frc9496,9496,8,2,0
frc5895,5895,5,5,0
frc6429,6429,3,7,0
frc2556,2556,5,4,0
frc6487,6487,4,6,0
frc1816,1816,3,7,0
frc6911,6911,5,5,0
frc2813,2813,6,4,0
frc8229,8229,7,3,0
frc364,364,2,8,0
frc4766,4766,6,4,0
frc484,484,7,3,0
frc1690,1690,8,2,0
frc1506,1506,9,1,0
frc4125,4125,4,6,0
frc449,449,8,2,0
frc1533,1533,1,9,0
frc4322,4322,4,6,0
frc7840,7840,2,8,0
frc2054,2054,5,5,0
frc16,16,1,8,0
frc8159,8159,7,3,0
frc4655,4655,6,4,0
frc2635,2635,2,8,0
frc10980,10980,7,3,0
frc1023,1023,6,4,0
frc6528,6528,8,2,0
frc8858,8858,6,4,0
frc10034,10034,3,7,0
frc3753,3753,4,6,0
frc2468,2468,7,3,0
frc5913,5913,9,1,0
frc51,51,6,4,0
frc1403,1403,4,6,0
frc3937,3937,4,6,0
frc4607,4607,5,5,0
frc8749,8749,8,3,0
frc2486,2486,6,4,0
frc4201,4201,5,5,0
frc3175,3175,2,8,0
frc1710,1710,6,4,0
frc3512,3512,3,7,0
frc1732,1732,7,3,0
frc4698,4698,4,6,0
frc3297,3297,3,7,0
frc573,573,7,3,0
frc9785,9785,9,1,0
frc581,581,7,3,0
frc3035,3035,4,6,0
frc1706,1706,10,0,0
frc10131,10131,6,4,0
frc11493,11493,5,5,0
frc1259,1259,4,6,0
frc2659,2659,7,3,0
frc188,188,5,5,0
frc11270,11270,6,4,0
frc5348,5348,6,5,0
frc238,238,8,2,0
frc11024,11024,1,9,0
frc3641,3641,5,5,0
frc503,503,6,4,0
frc10907,10907,3,7,0
frc4174,4174,6,4,0
frc540,540,3,7,0
frc8214,8214,4,6,0
frc4191,4191,4,6,0
frc1287,1287,3,7,0
frc6121,6121,4,6,0
frc8044,8044,7,3,0
frc4613,4613,5,5,0
frc5406,5406,6,4,0
frc11118,11118,6,4,0
frc8005,8005,5,5,0
frc2834,2834,1,10,0
frc5086,5086,4,6,0
frc9449,9449,5,5,0
frc5000,5000,8,2,0
frc5454,5454,5,5,0
frc4143,4143,5,5,0
frc6639,6639,3,7,0
frc2383,2383,5,5,0
frc6329,6329,9,1,0
frc2056,2056,9,1,0
frc3467,3467,6,4,0
frc401,401,2,8,0
frc1701,1701,8,2,0
frc1986,1986,6,5,0
frc1787,1787,6,4,0
frc7287,7287,4,6,0
frc2199,2199,4,6,0
frc8513,8513,8,2,0
frc6152,6152,0,10,0
frc6200,6200,1,9,0
frc8267,8267,4,6,0
frc3539,3539,3,7,0
frc2607,2607,5,5,0
frc494,494,6,4,0
frc910,910,5,5,0
frc6328,6328,7,3,0
frc6517,6517,5,5,0
frc1296,1296,6,4,0
frc761,761,5,5,0
frc1625,1625,4,6,0
frc2102,2102,4,6,0
frc3015,3015,5,5,0
frc1014,1014,5,5,0
frc2220,2220,4,6,0
frc7451,7451,2,8,0
frc9692,9692,2,8,0
frc3506,3506,5,5,0
frc422,422,5,5,0
frc1908,1908,4,6,0
frc1076,1076,4,6,0
frc179,179,4,6,0
frc6940,6940,3,7,0
frc6652,6652,2,8,0
frc10396,10396,0,10,0
frc245,245,2,8,0
frc9072,9072,5,5,0
frc836,836,8,2,0
frc9483,9483,7,3,0
frc1306,1306,5,5,0
frc8612,8612,7,3,0
frc3603,3603,4,6,0
frc2704,2704,3,7,0
frc2040,2040,6,4,0
frc5968,5968,5,5,0
frc7257,7257,4,6,0
frc33,33,8,2,0
frc2877,2877,6,4,0
frc10340,10340,6,4,0
frc4946,4946,6,4,0
frc2522,2522,7,3,0
frc619,619,4,6,0
frc7558,7558,8,2,0
frc7403,7403,2,8,0
frc3536,3536,6,4,0
frc8,8,6,4,0
frc9646,9646,4,6,0
frc5026,5026,8,2,0
frc67,67,7,3,0
frc10114,10114,2,8,0
frc955,955,7,3,0
frc4967,4967,4,6,0
frc2252,2252,4,6,0
frc6766,6766,1,9,0
frc9484,9484,3,7,0
frc6829,6829,3,7,0
frc3061,3061,6,4,0
frc9597,9597,5,5,0
frc3620,3620,6,4,0
frc7551,7551,2,8,0
frc1073,1073,5,5,0
frc3770,3770,4,6,0
frc9757,9757,2,8,0
frc2096,2096,4,6,0
frc48,48,3,7,0
frc360,360,4,6,0
frc4522,4522,10,0,0
frc11269,11269,3,7,0
frc4451,4451,6,4,0
frc321,321,3,7,0
frc1792,1792,9,1,0
frc6324,6324,9,1,0
frc772,772,3,7,0
frc117,117,7,3,0
frc10014,10014,5,5,0
frc4391,4391,8,2,0
frc7220,7220,7,3,0
frc7563,7563,5,5,0
frc3255,3255,6,4,0
frc334,334,2,8,0
frc118,118,6,4,0
frc190,190,8,2,0
frc2638,2638,4,6,0
frc1002,1002,4,6,0
frc2337,2337,8,2,0
frc9277,9277,2,8,0
frc498,498,7,3,0
frc2619,2619,5,5,0
frc4635,4635,6,4,0
frc3630,3630,6,4,0
frc2848,2848,5,5,0
frc10217,10217,5,5,0
frc3414,3414,5,5,0
frc4253,4253,1,9,0
frc4099,4099,6,4,0
frc6436,6436,5,5,0
frc1796,1796,7,3,0
frc5549,5549,9,1,0
frc604,604,8,2,0
frc1922,1922,6,4,0
frc599,599,7,3,0
frc4590,4590,6,4,0
frc2586,2586,4,6,0
frc8373,8373,5,5,0
frc1807,1807,5,5,0
frc6988,6988,4,6,0
frc9067,9067,5,5,0
frc9450,9450,2,8,0
frc7160,7160,6,4,0
frc10979,10979,3,7,0
frc6352,6352,2,8,0
frc10291,10291,5,5,0
frc195,195,5,5,0
frc2046,2046,5,5,0
frc3256,3256,4,6,0
frc9245,9245,4,6,0
frc148,148,6,4,0
frc868,868,6,4,0
frc3276,3276,4,6,0
frc1902,1902,4,6,0
frc386,386,2,8,0
frc4561,4561,5,5,0
frc973,973,8,2,0
frc2052,2052,8,2,0
frc1884,1884,1,9,0
frc11463,11463,3,7,0
frc2996,2996,6,4,0
frc10935,10935,3,7,0
frc2370,2370,4,6,0
frc930,930,5,5,0
frc3966,3966,7,3,0
frc10903,10903,4,6,0
frc5216,5216,5,5,0
frc233,233,4,6,0
frc341,341,6,4,0
frc1577,1577,5,5,0
frc2194,2194,4,6,0
frc818,818,3,7,0
frc5414,5414,2,8,0
frc8046,8046,3,7,0
frc88,88,2,8,0
frc10553,10553,5,5,0
frc4206,4206,4,6,0
frc9408,9408,8,2,0
frc424,424,3,7,0
frc695,695,7,3,0
frc687,687,6,4,0
frc6647,6647,4,6,0
frc2067,2067,4,6,0
frc9128,9128,9,1,0
frc1540,1540,6,4,0
frc4400,4400,5,5,0
frc180,180,3,7,0
frc5736,5736,5,5,0
frc948,948,5,5,0
frc3005,3005,4,6,0
frc346,346,7,3,0
frc5951,5951,3,7,0
frc3354,3354,6,4,0
frc1833,1833,8,2,0
frc2783,2783,6,4,0
frc1108,1108,4,6,0
frc2910,2910,9,1,0
frc6036,6036,8,2,0
frc2713,2713,6,4,0
frc9029,9029,3,7,0
frc5948,5948,8,2,0
frc3044,3044,5,5,0
frc2601,2601,3,7,0
frc3075,3075,4,6,0
frc7890,7890,3,7,0
frc7457,7457,10,1,0
frc2905,2905,7,3,0
frc6925,6925,3,7,0
frc359,359,7,3,0
frc9644,9644,3,7,0
frc7594,7594,3,7,0
frc5462,5462,4,6,0
frc4481,4481,6,4,0
frc2811,2811,2,8,0
frc694,694,10,0,0
frc4795,4795,9,2,0
frc3419,3419,3,7,0
frc287,287,7,3,0
frc3492,3492,5,5,0
frc2403,2403,3,7,0
